title,id,1depth,2depth,3depth,parent_community,depth,title_en,title_ko,title_ja,title_zh_hans,title_zh_hant,title_es,title_ru,title_ar
Mlb,1176,스포츠,야구,MLB,스포츠,3,Mlb,MLB,MLB,美国职棒大联盟,美國職棒大聯盟,Grandes Ligas,МЛБ,MLB
Kbo,1177,스포츠,야구,KBO,스포츠,3,Kbo,KBO,KBO,柯伊伯带天体,柯伊伯帶天體,KBO,КБО,KBO
Npb,1178,스포츠,야구,NPB,스포츠,3,Npb,NPB,NPB,NPB,NPB,NPB,НПБ,نب
Cpbl,1179,스포츠,야구,CPBL,스포츠,3,Cpbl,CPBL,CPBL,CPBL,CPBL,CPBL,КПБЛ,CPBL
L.M.B.,1180,스포츠,야구,LMB,스포츠,3,L.M.B.,LMB,LMB,LMB,LMB,LMB,Л.М.Б.,L.M.B.
Lvbp,1181,스포츠,야구,LVBP,스포츠,3,Lvbp,LVBP,LVBP,左心室血压,左心室血壓,LVBP,ЛЖБП,LVBP
Youth Baseball,1182,스포츠,야구,유소년 야구,스포츠,3,Youth Baseball,유소년 야구,幼少年野球,青少年棒球,青少年棒球,béisbol juvenil,молодежный бейсбол,البيسبول الشباب
Member Of Society Baseball,1183,스포츠,야구,사회인 야구,스포츠,3,Member Of Society Baseball,사회인 야구,社会人野球,棒球协会会员,棒球協會會員,miembro de la sociedad de beisbol,член общества бейсбола,عضو في مجتمع البيسبول
Women Baseball,1184,스포츠,야구,여성 야구,스포츠,3,Women Baseball,여성 야구,女性野球,女子棒球,女子棒球,beisbol femenino,женский бейсбол,لعبة البيسبول النسائية
Etc,1185,스포츠,야구,기타,스포츠,3,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Basketball,1186,스포츠,농구,,스포츠,2,Basketball,농구,バスケットボール,篮球,籃球,baloncesto,баскетбол,كرة سلة
Volleyball,1187,스포츠,배구,,스포츠,2,Volleyball,배구,バレーボール,排球,排球,vóleibol,волейбол,الكرة الطائرة
Tennis/Badminton,1188,스포츠,테니스/배드민턴,,스포츠,2,Tennis/Badminton,테니스/배드민턴,テニス/バドミントン,网球/羽毛球,網球/羽毛球,Tenis/Bádminton,Теннис/Бадминтон,التنس / كرة الريشة
Golf,1189,스포츠,골프,,스포츠,2,Golf,골프,ゴルフ,高尔夫球,高爾夫球,golf,гольф,جولف
Table Tennis/Billiards,1190,스포츠,탁구/당구,,스포츠,2,Table Tennis/Billiards,탁구/당구,卓球/ビリヤード,乒乓球/台球,乒乓球/撞球,Tenis de mesa/billar,Настольный теннис/бильярд,تنس الطاولة/البلياردو
Swimming,1191,스포츠,수영,,스포츠,2,Swimming,수영,水泳,游泳,游泳,nadar,плавание,سباحة
Health,1192,스포츠,헬스,,스포츠,2,Health,헬스,フィットネス,健康,健康,salud,здоровье,صحة
Leisure Sports,1193,스포츠,레저 스포츠,,스포츠,2,Leisure Sports,레저 스포츠,レジャースポーツ,休闲运动,休閒運動,Deportes de ocio,Спортивный отдых,الرياضات الترفيهية
Martial Arts,1194,스포츠,무술,,스포츠,2,Martial Arts,무술,武道,武术,武術,Artes marciales,Боевые искусства,الفنون العسكرية
Racing,1195,스포츠,레이싱,,스포츠,2,Racing,레이싱,レーシング,赛车,賽車,carreras,гонки,سباق
Etc,1196,스포츠,기타,,스포츠,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Animal,1197,동물,,,,1,Animal,동물,動物,动物,動物,animal,животное,حيوان
Dog/Puppy,1198,동물,개/강아지,,동물,2,Dog/Puppy,개/강아지,犬/子犬,狗/小狗,狗/小狗,perro/cachorro,собака/щенок,الكلب، الجرو
Cat,1199,동물,고양이,,동물,2,Cat,고양이,猫,猫,貓,gato,кот,قطة
Bird/Avian,1200,동물,새/조류,,동물,2,Bird/Avian,새/조류,鳥/鳥,鸟/禽,鳥/禽,pájaro/aviar,птица/птица,الطيور / الطيور
Fish/Crustaceans,1201,동물,어류/갑각류,,동물,2,Fish/Crustaceans,어류/갑각류,魚/甲殻類,鱼类/甲壳类,魚類/甲殼類,Pescado/crustáceos,Рыба/ракообразные,الأسماك/القشريات
Reptiles/Amphibians,1202,동물,파충류/양서류,,동물,2,Reptiles/Amphibians,파충류/양서류,爬虫類/両生類,爬行动物/两栖动物,爬蟲類/兩棲類,Reptiles/Anfibios,Рептилии/амфибии,الزواحف / البرمائيات
Insects,1203,동물,곤충류,,동물,2,Insects,곤충류,昆虫類,昆虫,昆蟲,insectos,насекомые,الحشرات
Animal Protection,1204,동물,동물보호,,동물,2,Animal Protection,동물보호,動物保護,动物保护,動物保護,protección animal,защита животных,حماية الحيوان
Etc,1205,동물,기타,,동물,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Hobby,1206,취미,,,,1,Hobby,취미,趣味,爱好,嗜好,pasatiempo,хобби,هواية
Travel,1207,취미,여행,,취미,2,Travel,여행,旅行,旅行,旅行,viajar,путешествовать,يسافر
Collection,1208,취미,수집,,취미,2,Collection,수집,収集,收藏,收藏,recopilación,коллекция,مجموعة
Model,1209,취미,모형,,취미,2,Model,모형,モデル,模型,模型,modelo,модель,نموذج
Handicraft,1210,취미,수공예,,취미,2,Handicraft,수공예,手工芸,手工业,手工業,artesanía,ремесло,حرفي - حرفة يدوية
Horticulture,1211,취미,원예,,취미,2,Horticulture,원예,園芸,园艺,園藝,horticultura,садоводство,البستنة
Cosplay,1212,취미,코스프레,,취미,2,Cosplay,코스프레,コスプレ,角色扮演,角色扮演,cosplay,косплей,التنكر
Magic,1213,취미,마술,,취미,2,Magic,마술,魔法,魔法,魔法,magia,Магия,سحر
Play,1214,취미,놀이,,취미,2,Play,놀이,遊ぶ,玩,玩,jugar,играть,يلعب
Etc,1215,취미,기타,,취미,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Fashion/Beauty,1216,패션/미용,,,,1,Fashion/Beauty,패션/미용,ファッション/美容,时尚/美容,時尚/美容,Belleza de la moda,Мода/Красота,الجمال الأزياء
Clothes,1217,패션/미용,의류,,패션/미용,2,Clothes,의류,衣類,衣服,衣服,ropa,одежда,ملابس
Fashion Miscellaneous Goods,1218,패션/미용,패션잡화,,패션/미용,2,Fashion Miscellaneous Goods,패션잡화,ファッション雑貨,时尚杂货,時尚雜貨,Artículos diversos de moda.,Модные разные товары,أزياء السلع المتنوعة
Accessory,1219,패션/미용,액세서리,,패션/미용,2,Accessory,액세서리,アクセサリー,配饰,配件,accesorio,аксессуар,ملحق
Luxury,1220,패션/미용,명품,,패션/미용,2,Luxury,명품,高級,奢华,奢華,Lujo,Роскошь,رفاهية
Skin Care,1221,패션/미용,피부관리,,패션/미용,2,Skin Care,피부관리,皮膚管理,皮肤护理,皮膚護理,protección de la piel,уход за кожей,العناية بالبشرة
Hair/Nail,1222,패션/미용,헤어/네일,,패션/미용,2,Hair/Nail,헤어/네일,ヘア/ネイル,头发/指甲,頭髮/指甲,Cabello/Uñas,Волосы/Ногти,الشعر/الأظافر
Makeup/Perfume,1223,패션/미용,화장/향수,,패션/미용,2,Makeup/Perfume,화장/향수,化粧/香水,彩妆/香水,彩妝/香水,Maquillaje/Perfume,Макияж/Парфюмерия,مكياج/عطور
Plastic Surgery,1224,패션/미용,성형,,패션/미용,2,Plastic Surgery,성형,成形,整形外科,整形外科,cirugía plástica,пластическая хирургия,جراحة تجميلية
Etc,1225,패션/미용,기타,,패션/미용,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Health,1226,건강,,,,1,Health,건강,健康,健康,健康,salud,здоровье,صحة
Diet/Diet,1227,건강,식생활/다이어트,,건강,2,Diet/Diet,식생활/다이어트,食生活/ダイエット,饮食/饮食,飲食/飲食,Dieta/Dieta,Диета/Диета,النظام الغذائي / النظام الغذائي
Diet/Eating Habits,1228,건강,식생활/식습관,,건강,2,Diet/Eating Habits,식생활/식습관,食生活/食習慣,饮食/饮食习惯,飲食/飲食習慣,Dieta/hábitos alimentarios,Диета/привычки в еде,النظام الغذائي / عادات الأكل
Work Out,1229,건강,운동,,건강,2,Work Out,운동,運動,锻炼,鍛鍊,ejercicio,тренировка,اكتشف - حل
Healthcare,1230,건강,건강관리,,건강,2,Healthcare,건강관리,健康管理,卫生保健,衛生保健,cuidado de la salud,здравоохранение,الرعاىة الصحية
Diet,1231,건강,다이어트,,건강,2,Diet,다이어트,ダイエット,饮食,飲食,dieta,диета,نظام عذائي
Disease/Symptoms,1232,건강,질병/증상,,건강,2,Disease/Symptoms,질병/증상,病気/症状,疾病/症状,疾病/症狀,Enfermedad/Síntomas,Болезнь/Симптомы,المرض/الأعراض
Medical Institution,1233,건강,의료기관,,건강,2,Medical Institution,의료기관,医療機関,医疗机构,醫療機構,Institución medica,медицинское учреждение,مؤسسة طبية
Psychological Counseling,1234,건강,심리상담,,건강,2,Psychological Counseling,심리상담,心理相談,心理咨询,心理諮商,Asesoramiento psicológico,Психологическое консультирование,الإرشاد النفسي
Etc,1235,건강,기타,,건강,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Family/Childcare,1236,가족/육아,,,,1,Family/Childcare,가족/육아,家族/子育て,家庭/儿童保育,家庭/兒童保育,Familia/Cuidado de niños,Семья/Уход за детьми,الأسرة/رعاية الأطفال
Marriage,1237,가족/육아,결혼,,가족/육아,2,Marriage,결혼,結婚,婚姻,婚姻,casamiento,свадьба,زواج
Child Welfare/Adoption,1238,가족/육아,아동복지/입양,,가족/육아,2,Child Welfare/Adoption,아동복지/입양,児童福祉/養子縁組,儿童福利/收养,兒童福利/收養,Bienestar infantil/adopción,Защита детей/Усыновление,رعاية الطفل/التبني
Married Couple,1239,가족/육아,부부,,가족/육아,2,Married Couple,부부,カップル,结婚夫妇,結婚夫妻,Pareja casada,женатая пара,زوجين
Pregnancy/Childbirth,1240,가족/육아,임신/출산,,가족/육아,2,Pregnancy/Childbirth,임신/출산,妊娠/出産,怀孕/分娩,懷孕/分娩,Embarazo/Parto,Беременность/Роды,الحمل/الولادة
Parenting/Women,1241,가족/육아,육아/여성,,가족/육아,2,Parenting/Women,육아/여성,子育て/女性,育儿/女性,育兒/女性,Crianza/Mujeres,Воспитание/Женщины,الأبوة والأمومة / المرأة
Family/Family Events,1242,가족/육아,가족/가족행사,,가족/육아,2,Family/Family Events,가족/가족행사,家族/家族イベント,家庭/家庭活动,家庭/家庭活動,Eventos familiares/familiares,Семья/Семейные мероприятия,الأحداث العائلية / العائلية
Immigrant,1243,가족/육아,이민,,가족/육아,2,Immigrant,이민,移民,移民,移民,inmigrante,иммигрант,مهاجر
Etc,1244,가족/육아,기타,,가족/육아,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Digital/It,1245,디지털/IT,,,,1,Digital/It,디지털/IT,デジタル/IT,数字/IT,數字/IT,Digital/TI,Цифровой/ИТ,الرقمية / تكنولوجيا المعلومات
Programming,1246,디지털/IT,프로그래밍,,디지털/IT,2,Programming,프로그래밍,プログラミング,编程,程式設計,programación,программирование,برمجة
Telecommunications/Network,1247,디지털/IT,통신/네트워크,,디지털/IT,2,Telecommunications/Network,통신/네트워크,通信/ネットワーク,电信/网络,電信/網路,Telecomunicaciones/Red,Телекоммуникации/Сеть,الاتصالات/الشبكة
Web Design/Web Planning,1248,디지털/IT,웹디자인/웹기획,,디지털/IT,2,Web Design/Web Planning,웹디자인/웹기획,ウェブデザイン/ウェブ企画,网页设计/网页策划,網頁設計/網頁策劃,Diseño Web/Planificación Web,Веб-дизайн/Веб-планирование,تصميم الويب/تخطيط الويب
Operating System,1249,디지털/IT,운영체제,,디지털/IT,2,Operating System,운영체제,オペレーティングシステム,操作系统,作業系統,Sistema operativo,Операционная система,نظام التشغيل
Software,1250,디지털/IT,소프트웨어,,디지털/IT,2,Software,소프트웨어,ソフトウェア,软件,軟體,software,программное обеспечение,برمجة
Hardware,1251,디지털/IT,하드웨어,,디지털/IT,2,Hardware,하드웨어,ハードウェア,硬件,硬體,hardware,аппаратное обеспечение,المعدات
Multimedia,1252,디지털/IT,멀티미디어,,디지털/IT,2,Multimedia,멀티미디어,マルチメディア,多媒体,多媒體,multimedia,мультимедиа,الوسائط المتعددة
Security,1253,디지털/IT,보안,,디지털/IT,2,Security,보안,セキュリティ,安全,安全,seguridad,безопасность,حماية
Mobile,1254,디지털/IT,모바일,,디지털/IT,2,Mobile,모바일,モバイル,移动的,移動的,móvil,мобильный,متحرك
Etc,1255,디지털/IT,기타,,디지털/IT,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Finance,1256,금융,,,,1,Finance,금융,金融,金融,金融,finanzas,финансы,تمويل
Invest,1257,금융,투자,,금융,2,Invest,투자,投資,投资,投資,invertir,вкладывать деньги,يستثمر
Insurance,1258,금융,보험,,금융,2,Insurance,보험,保険,保险,保險,seguro,страхование,تأمين
Real Estate,1259,금융,부동산,,금융,2,Real Estate,부동산,不動産,房地产,房地產,bienes raíces,недвижимость,العقارات
Virtual Currency,1260,금융,가상화폐,,금융,2,Virtual Currency,가상화폐,仮想通貨,虚拟货币,虛擬貨幣,moneda virtual,виртуальная валюта,العملة الافتراضية
Bitcoin,1261,금융,가상화폐,비트코인,금융,3,Bitcoin,비트코인,ビットコイン,比特币,比特幣,bitcóin,биткойн,بيتكوين
Ethereum,1262,금융,가상화폐,이더리움,금융,3,Ethereum,이더리움,イーサリアム,以太坊,以太坊,Etereum,Эфириум,ايثريوم
Ripple,1263,금융,가상화폐,리플,금융,3,Ripple,리플,リップル,波纹,波紋,onda,пульсация,تموج
Abe,1264,금융,가상화폐,에이브,금융,3,Abe,에이브,エイブ,安倍,安倍,abe,Эйб,آبي
Multiverse,1265,금융,가상화폐,멀티버스엑스,금융,3,Multiverse,멀티버스엑스,マルチバスX,多元宇宙,多元宇宙,Multiverso,Мультивселенная,الكون المتعدد
Solana,1266,금융,가상화폐,솔라나,금융,3,Solana,솔라나,ソラナ,索拉纳,索拉納,solana,Солана,سولانا
Strike,1267,금융,가상화폐,스트라이크,금융,3,Strike,스트라이크,ストライク,罢工,罷工,huelga,ударять,يضرب
Etc,1268,금융,가상화폐,기타,금융,3,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Nft,1269,금융,NFT,,금융,2,Nft,NFT,NFT,NFT,NFT,NFT,НФТ,نفت
Asset Management,1270,금융,자산관리,,금융,2,Asset Management,자산관리,資産管理,资产管理,資產管理,gestión de activos,управление активами,إدارة الأصول
Etc,1271,금융,기타,,금융,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Education,1272,교육,,,,1,Education,교육,教育,教育,教育,educación,образование,تعليم
Infant,1273,교육,영유아,,교육,2,Infant,영유아,幼児,婴儿,嬰兒,niño,младенец,رضيع
Elementary School,1274,교육,초등학교,,교육,2,Elementary School,초등학교,小学校,小学,小學,escuela primaria,Начальная школа,مدرسة ابتدائية
Middle School,1275,교육,중학교,,교육,2,Middle School,중학교,中学校,中学,中學,escuela intermedia,Средняя школа,المدرسة المتوسطة
High School,1276,교육,고등학교,,교육,2,High School,고등학교,高校,中学,中學,escuela secundaria,средняя школа,المدرسة الثانوية
University,1277,교육,대학교,,교육,2,University,대학교,大学,大学,大學,universidad,Университет,جامعة
Special Education,1278,교육,특수교육,,교육,2,Special Education,특수교육,特殊教育,特殊教育,特殊教育,educación especial,специальное образование,التعليم الخاص
Vocational Education,1279,교육,직업교육,,교육,2,Vocational Education,직업교육,職業教育,职业教育,職業教育,Educación vocacional,Профессионально-техническое образование,التعليم المهني
Lifelong Education,1280,교육,평생교육,,교육,2,Lifelong Education,평생교육,生涯教育,终身教育,終身教育,Educación permanente,Непрерывное образование,التعليم مدى الحياة
Study Abroad/Language Training,1281,교육,유학/어학연수,,교육,2,Study Abroad/Language Training,유학/어학연수,留学・語学研修,出国留学/语言培训,出國留學/語言培訓,Estudiar en el extranjero/formación de idiomas,Обучение за рубежом/языковая подготовка,الدراسة في الخارج / التدريب على اللغة
Academy/Tutoring,1282,교육,학원/과외,,교육,2,Academy/Tutoring,학원/과외,学園/課外,学院/辅导,學院/輔導,Academia/tutoría,Академия/репетиторство,الأكاديمية / التدريس
Exam/Certificate,1283,교육,시험/자격증,,교육,2,Exam/Certificate,시험/자격증,試験/資格,考试/证书,考試/證書,Examen/Certificado,Экзамен/Сертификат,الامتحان/الشهادة
Education Methods/Policies,1284,교육,교육방법/정책,,교육,2,Education Methods/Policies,교육방법/정책,教育方法/政策,教育方法/政策,教育方法/政策,Métodos/políticas educativas,Методы/политика образования,أساليب/سياسات التعليم
Etc,1285,교육,기타,,교육,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Politics/Society,1286,정치/사회,,,,1,Politics/Society,정치/사회,政治/社会,政治/社会,政治/社會,Política/Sociedad,Политика/Общество,السياسة/المجتمع
Law,1287,정치/사회,법,,정치/사회,2,Law,법,法,法律,法律,ley,закон,قانون
Administration/Civil Complaints,1288,정치/사회,행정/민원,,정치/사회,2,Administration/Civil Complaints,행정/민원,行政/苦情,行政/民事投诉,行政/民事申訴,Administración/Quejas civiles,Администрация/Гражданские жалобы,الإدارة / الشكاوى المدنية
Politics/Elections,1289,정치/사회,정치/선거,,정치/사회,2,Politics/Elections,정치/선거,政治/選挙,政治/选举,政治/選舉,Política/Elecciones,Политика/Выборы,سياسة/انتخابات
International Relations/Unification,1290,정치/사회,국제관계/통일,,정치/사회,2,International Relations/Unification,국제관계/통일,国際関係/統一,国际关系/统一,國際關係/統一,Relaciones Internacionales/Unificación,Международные отношения/Объединение,العلاقات الدولية/التوحيد
National Defense/Military Service,1291,정치/사회,국방/병역,,정치/사회,2,National Defense/Military Service,국방/병역,防衛/兵役,国防/军事服务,國防/軍事服務,Defensa Nacional/Servicio Militar,Национальная оборона/Военная служба,الدفاع الوطني/الخدمة العسكرية
Environment/Disaster,1292,정치/사회,환경/재난재해,,정치/사회,2,Environment/Disaster,환경/재난재해,環境/災害災害,环境/灾难,環境/災難,Medio ambiente/desastre,Окружающая среда/Катастрофа,البيئة/الكوارث
Welfare/Human Rights,1293,정치/사회,복지/인권,,정치/사회,2,Welfare/Human Rights,복지/인권,福祉/人権,福利/人权,福利/人權,Bienestar/Derechos Humanos,Благосостояние/права человека,الرعاية الاجتماعية/حقوق الإنسان
Society And Culture,1294,정치/사회,사회문화,,정치/사회,2,Society And Culture,사회문화,社会文化,社会与文化,社會與文化,sociedad y Cultura,общество и культура,المجتمع والثقافة
Politics/General Society,1295,정치/사회,정치/사회일반,,정치/사회,2,Politics/General Society,정치/사회일반,政治/社会一般,政治/一般社会,政治/一般社會,Política/Sociedad General,Политика/Общество в целом,سياسة/المجتمع العام
Volunteering/Charity,1296,정치/사회,자원봉사/자선,,정치/사회,2,Volunteering/Charity,자원봉사/자선,ボランティア/チャリティ,志愿服务/慈善,志工服務/慈善,Voluntariado/Caridad,Волонтерство/Благотворительность,العمل التطوعي/الخيرية
Etc,1297,정치/사회,기타,,정치/사회,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Religion,1298,종교,,,,1,Religion,종교,宗教,宗教,宗教,religión,религия,دِين
Catholic,1299,종교,가톨릭,,종교,2,Catholic,가톨릭,カトリック,天主教,天主教,católico,Католик,كاثوليكي
Protestant,1300,종교,개신교,,종교,2,Protestant,개신교,プロテスタント,新教,新教,protestante,протестант,البروتستانتية
Islam,1301,종교,이슬람교,,종교,2,Islam,이슬람교,イスラム教,伊斯兰教,伊斯蘭教,islam,ислам,دين الاسلام
Judaism,1302,종교,유대교,,종교,2,Judaism,유대교,ユダヤ教,犹太教,猶太教,judaísmo,иудаизм,اليهودية
Hinduism,1303,종교,힌두교,,종교,2,Hinduism,힌두교,ヒンズー教,印度教,印度教,hinduismo,индуизм,الهندوسية
Buddhism,1304,종교,불교,,종교,2,Buddhism,불교,仏教,佛教,佛教,budismo,буддизм,البوذية
Shamanism,1305,종교,샤머니즘,,종교,2,Shamanism,샤머니즘,シャーマニズム,萨满教,薩滿教,chamanismo,шаманизм,الشامانية
Small Religion,1306,종교,소규모종교,,종교,2,Small Religion,소규모종교,小規模宗教,小宗教,小宗教,pequeña religión,маленькая религия,دين صغير
Etc,1307,종교,기타,,종교,2,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
