"title","1depth","2depth","3depth","parent_community","depth","title_en","title_ko","title_ja","title_zh_hans","title_zh_hant","title_es","title_ru","title_ar"
"Basketball","스포츠","농구","","스포츠",2,"Basketball","농구","バスケットボール","篮球","籃球","baloncesto","баскетбол","كرة سلة"
"Volleyball","스포츠","배구","","스포츠",2,"Volleyball","배구","バレーボール","排球","排球","vóleibol","волейбол","الكرة الطائرة"
"Tennis/Badminton","스포츠","테니스/배드민턴","","스포츠",2,"Tennis/Badminton","테니스/배드민턴","テニス/バドミントン","网球/羽毛球","網球/羽毛球","Tenis/bádminton","Теннис/бадминтон","التنس/الريشة"
"Golf","스포츠","골프","","스포츠",2,"Golf","골프","ゴルフ","高尔夫球","高爾夫球","golf","гольф","الجولف"
"Table Tennis/Billiards","스포츠","탁구/당구","","스포츠",2,"Table Tennis/Billiards","탁구/당구","卓球/ビリヤード","乒乓球/台球","乒乓球/台球","Tenis de mesa/billar","Настольный теннис/бильярд","تنس الجدول/البلياردو"
"Swimming","스포츠","수영","","스포츠",2,"Swimming","수영","水泳","游泳","游泳","nadar","плавание","سباحة"
"Health","스포츠","헬스","","스포츠",2,"Health","헬스","健康","健康","健康","salud","здоровье","صحة"
"Leisure Sports","스포츠","레저 스포츠","","스포츠",2,"Leisure Sports","레저 스포츠","レジャースポーツ","休闲运动","休閒運動","Deportes de ocio","Leisure Sports","الرياضة الترفيهية"
"Martial Arts","스포츠","무술","","스포츠",2,"Martial Arts","무술","武道","武术","武術","Artes marciales","Боевые искусства","الفنون العسكرية"
"Racing","스포츠","레이싱","","스포츠",2,"Racing","레이싱","レース","赛车","賽車","carreras","гонки","سباق"
"Etc","스포츠","기타","","스포츠",2,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Animal","동물","","","",1,"Animal","동물","動物","动物","動物","animal","животное","حيوان"
"Dog/Puppy","동물","개/강아지","","동물",2,"Dog/Puppy","개/강아지","犬/子犬","狗/小狗","狗/小狗","Perro/cachorro","Собака/щенок","الكلب، الجرو"
"Cat","동물","고양이","","동물",2,"Cat","고양이","猫","猫","貓","gato","кот","قطة"
"New/Bird","동물","새/조류","","동물",2,"New/Bird","새/조류","新しい/鳥","新/鸟","新/鳥","Nuevo/pájaro","Новая/птица","جديد/طائر"
"Fish/Crustaceans","동물","어류/갑각류","","동물",2,"Fish/Crustaceans","어류/갑각류","魚/甲殻類","鱼/甲壳类动物","魚/甲殼類動物","Peces/crustáceos","Рыба/ракообразные","الأسماك/القشريات"
"Reptile/Amphibians","동물","파충류/양서류","","동물",2,"Reptile/Amphibians","파충류/양서류","爬虫類/両生類","爬行动物/两栖动物","爬行動物/兩棲動物","Reptil/anfibios","Рептилия/амфибии","الزواحف/البرمائيات"
"Insects","동물","곤충류","","동물",2,"Insects","곤충류","昆虫","昆虫","昆蟲","Insectos","Насекомые","الحشرات"
"Animal Protection","동물","동물보호","","동물",2,"Animal Protection","동물보호","動物保護","动物保护","動物保護","Protección animal","Защита животных","حماية الحيوان"
"Etc","동물","기타","","동물",2,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Hobby","취미","","","",1,"Hobby","취미","趣味","爱好","愛好","pasatiempo","хобби","هواية"
"Travel","취미","여행","","취미",2,"Travel","여행","旅行","旅行","旅行","viajar","путешествовать","يسافر"
"Collection","취미","수집","","취미",2,"Collection","수집","コレクション","收藏","收藏","recopilación","коллекция","مجموعة"
"Model","취미","모형","","취미",2,"Model","모형","モデル","模型","模型","modelo","модель","نموذج"
"Handicraft","취미","수공예","","취미",2,"Handicraft","수공예","手芸","手工业","手工業","Artesanía","Ремесленник","حرفي - حرفة يدوية"
"Horticulture","취미","원예","","취미",2,"Horticulture","원예","園芸","园艺","園藝","horticultura","садоводство","البستنة"
"Cosplay","취미","코스프레","","취미",2,"Cosplay","코스프레","コスプレ","角色扮演","角色扮演","cosplay","косплей","التنكر"
"Magic","취미","마술","","취미",2,"Magic","마술","魔法","魔法","魔法","magia","Магия","سحر"
"Play","취미","놀이","","취미",2,"Play","놀이","遊ぶ","玩","玩","jugar","играть","يلعب"
"Etc","취미","기타","","취미",2,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Fashion/Beauty","패션/미용","","","",1,"Fashion/Beauty","패션/미용","ファッション/美しさ","时尚/美丽","時尚/美麗","Belleza de la moda","Мода/красота","الجمال الأزياء"
"Clothes","패션/미용","의류","","패션/미용",2,"Clothes","의류","服","衣服","衣服","ropa","одежда","ملابس"
"Fashion Miscellaneousization","패션/미용","패션잡화","","패션/미용",2,"Fashion Miscellaneousization","패션잡화","ファッションの雑多化","时尚杂项","時尚雜項","Magelanización de la moda","Мода Разное","الموضة المتنوعة"
"Accessory","패션/미용","액세서리","","패션/미용",2,"Accessory","액세서리","アクセサリー","配饰","配飾","accesorio","аксессуар","الملحق"
"Luxury","패션/미용","명품","","패션/미용",2,"Luxury","명품","贅沢","奢华","奢華","Lujo","Роскошь","رفاهية"
"Skin Care","패션/미용","피부관리","","패션/미용",2,"Skin Care","피부관리","スキンケア","皮肤护理","皮膚護理","Protección de la piel","Уход за кожей","العناية بالبشرة"
"Hair/Nail","패션/미용","헤어/네일","","패션/미용",2,"Hair/Nail","헤어/네일","髪/爪","头发/指甲","頭髮/指甲","Cabello/uña","Волосы/гвоздь","الشعر/الظفر"
"Cosmetics/Perfume","패션/미용","화장/향수","","패션/미용",2,"Cosmetics/Perfume","화장/향수","化粧品/香水","化妆品/香水","化妝品/香水","Cosméticos/perfume","Косметика/духи","مستحضرات التجميل/العطور"
"Plastic Surgery","패션/미용","성형","","패션/미용",2,"Plastic Surgery","성형","形成外科","整形外科","整形外科","cirugía plástica","пластическая хирургия","جراحة تجميلية"
"Health","건강","","","",1,"Health","건강","健康","健康","健康","salud","здоровье","صحة"
"Diet/Diet","건강","식생활/다이어트","","건강",2,"Diet/Diet","식생활/다이어트","ダイエット/ダイエット","饮食/饮食","飲食/飲食","Dieta/dieta","Диета/диета","النظام الغذائي/النظام الغذائي"
"Diet/Eating Habits","건강","식생활/식습관","","건강",2,"Diet/Eating Habits","식생활/식습관","食事/食習慣","饮食/饮食习惯","飲食/飲食習慣","Dieta/hábitos alimenticios","Диета/привычки питания","العادات الغذائية/الأكل"
"Work Out","건강","운동","","건강",2,"Work Out","운동","いい結果","锻炼","鍛煉","ejercicio","тренировка","اكتشف - حل"
"Healthcare","건강","건강관리","","건강",2,"Healthcare","건강관리","健康管理","卫生保健","衛生保健","cuidado de la salud","здравоохранение","الرعاىة الصحية"
"Diet","건강","다이어트","","건강",2,"Diet","다이어트","ダイエット","饮食","飲食","dieta","диета","نظام عذائي"
"Disease/Symptoms","건강","질병/증상","","건강",2,"Disease/Symptoms","질병/증상","病気/症状","疾病/症状","疾病/症狀","Enfermedad/síntoma","Болезнь/симптомы","المرض/الأعراض"
"Medical Institution","건강","의료기관","","건강",2,"Medical Institution","의료기관","医療機関","医疗机构","醫療機構","Institución medica","Медицинское учреждение","مؤسسة طبية"
"Psychological Counseling","건강","심리상담","","건강",2,"Psychological Counseling","심리상담","心理的カウンセリング","心理咨询","心理諮詢","Asesoramiento psicológico","Психологическое консультирование","الإرشاد النفسي"
"Family/Parenting","가족/육아","","","",1,"Family/Parenting","가족/육아","家族/子育て","家庭/育儿","家庭/育兒","Familia/crianza","Семья/воспитание детей","الأسرة/الأبوة والأمومة"
"Marriage","가족/육아","결혼","","가족/육아",2,"Marriage","결혼","結婚","婚姻","婚姻","casamiento","свадьба","زواج"
"Child Welfare/Adoption","가족/육아","아동복지/입양","","가족/육아",2,"Child Welfare/Adoption","아동복지/입양","児童福祉/養子縁組","儿童福利/收养","兒童福利/收養","Bienestar infantil/adopción","Благополучие детей/усыновление","رعاية الطفل/التبني"
"Married Couple","가족/육아","부부","","가족/육아",2,"Married Couple","부부","夫婦","结婚夫妇","結婚夫婦","Pareja casada","женатая пара","زوجين"
"Pregnancy/Childbirth","가족/육아","임신/출산","","가족/육아",2,"Pregnancy/Childbirth","임신/출산","妊娠/出産","怀孕/分娩","懷孕/分娩","Embarazo/parto","Беременность/роды","الحمل/الولادة"
"Parenting/Women","가족/육아","육아/여성","","가족/육아",2,"Parenting/Women","육아/여성","子育て/女性","育儿/妇女","育兒/婦女","Crianza/mujer","Воспитание/Женщины","الأبوة والأمومة/النساء"
"Family/Family Event","가족/육아","가족/가족행사","","가족/육아",2,"Family/Family Event","가족/가족행사","家族/家族イベント","家庭/家庭活动","家庭/家庭活動","Evento familiar/familiar","Семейное/семейное мероприятие","حدث عائلي/عائلي"
"Immigrant","가족/육아","이민","","가족/육아",2,"Immigrant","이민","移民","移民","移民","inmigrante","иммигрант","مهاجر"
"Digital/It","디지털/IT","","","",1,"Digital/It","디지털/IT","デジタル/それ","数字/IT","數字/IT","Digital/","Цифровой/это","رقمية/"
"Programming","디지털/IT","프로그래밍","","디지털/IT",2,"Programming","프로그래밍","プログラミング","编程","程式設計","programación","программирование","برمجة"
"Communication/Network","디지털/IT","통신/네트워크","","디지털/IT",2,"Communication/Network","통신/네트워크","通信/ネットワーク","通信/网络","通信/網絡","Red de comunicacion","Коммуникация/сеть","شبكة اتصال"
"Web Design/Web Planning","디지털/IT","웹디자인/웹기획","","디지털/IT",2,"Web Design/Web Planning","웹디자인/웹기획","Webデザイン/Web計画","网页设计/网络计划","網頁設計/網絡計劃","Diseño web/planificación web","Веб -дизайн/веб -планирование","تصميم الويب/تخطيط الويب"
"Operating System","디지털/IT","운영체제","","디지털/IT",2,"Operating System","운영체제","オペレーティング·システム","操作系统","作業系統","Sistema operativo","Операционная система","نظام التشغيل"
"Software","디지털/IT","소프트웨어","","디지털/IT",2,"Software","소프트웨어","ソフトウェア","软件","軟體","software","программное обеспечение","برمجة"
"Hardware","디지털/IT","하드웨어","","디지털/IT",2,"Hardware","하드웨어","ハードウェア","硬件","硬體","hardware","аппаратное обеспечение","المعدات"
"Multimedia","디지털/IT","멀티미디어","","디지털/IT",2,"Multimedia","멀티미디어","マルチメディア","多媒体","多媒體","Multimedia","Мультимедиа","الوسائط المتعددة"
"Security","디지털/IT","보안","","디지털/IT",2,"Security","보안","安全","安全","安全","seguridad","безопасность","حماية"
"Mobile","디지털/IT","모바일","","디지털/IT",2,"Mobile","모바일","携帯","移动的","移動的","móvil","мобильный","متحرك"
"Finance","금융","","","",1,"Finance","금융","ファイナンス","金融","金融","finanzas","финансы","تمويل"
"Invest","금융","투자","","금융",2,"Invest","투자","投資する","投资","投資","invertir","вкладывать деньги","يستثمر"
"Insurance","금융","보험","","금융",2,"Insurance","보험","保険","保险","保險","seguro","страхование","تأمين"
"Real Estate","금융","부동산","","금융",2,"Real Estate","부동산","不動産","房地产","房地產","bienes raíces","недвижимость","العقارات"
"Cryptocurrency","금융","가상화폐","","금융",2,"Cryptocurrency","가상화폐","暗号通貨","加密货币","加密貨幣","Criptomoneda","Криптовалюта","عملة مشفرة"
"Bitcoin","금융","가상화폐","비트코인","금융",3,"Bitcoin","비트코인","ビットコイン","比特币","比特幣","Bitcoin","Биткойн","بيتكوين"
"Ethereum","금융","가상화폐","이더리움","금융",3,"Ethereum","이더리움","イーサリアム","以太坊","以太坊","Ethereum","Ethereum","ethereum"
"Ripple","금융","가상화폐","리플","금융",3,"Ripple","리플","波紋","波纹","波紋","onda","пульс","تموج"
"Av","금융","가상화폐","에이브","금융",3,"Av","에이브","av","av","av","AV","Средний","av"
"Multi Bus X","금융","가상화폐","멀티버스엑스","금융",3,"Multi Bus X","멀티버스엑스","マルチバスx","多巴士X","多巴士X","Multi Bus X","Multi Bus x","Multi Bus X."
"Solana","금융","가상화폐","솔라나","금융",3,"Solana","솔라나","ソラナ","索拉纳","索拉納","Solana","Солана","سولانا"
"Strike","금융","가상화폐","스트라이크","금융",3,"Strike","스트라이크","ストライク","罢工","罷工","huelga","ударять","يضرب"
"Etc","금융","가상화폐","기타","금융",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Nft","금융","NFT","","금융",2,"Nft","NFT","NFT","nft","nft","NFT","Не","NFT"
"Asset Management","금융","자산관리","","금융",2,"Asset Management","자산관리","資産運用管理","资产管理","資產管理","Gestión de activos","Управление активами","إدارة الأصول"
"Education","교육","","","",1,"Education","교육","教育","教育","教育","educación","образование","تعليم"
"Infant","교육","영유아","","교육",2,"Infant","영유아","幼児","婴儿","嬰兒","Niño","Младенец","رضيع"
"Elementary School","교육","초등학교","","교육",2,"Elementary School","초등학교","小学校","小学","小學","escuela primaria","Начальная школа","مدرسة ابتدائية"
"Middle School","교육","중학교","","교육",2,"Middle School","중학교","中学校","中学","中學","escuela intermedia","Средняя школа","المدرسة المتوسطة"
"High School","교육","고등학교","","교육",2,"High School","고등학교","高校","中学","中學","escuela secundaria","средняя школа","المدرسة الثانوية"
"University","교육","대학교","","교육",2,"University","대학교","大学","大学","大學","universidad","Университет","جامعة"
"Special Education","교육","특수교육","","교육",2,"Special Education","특수교육","特別教育","特殊教育","特殊教育","Educación especial","Специальное образование","التعليم الخاص"
"Vocational Education","교육","직업교육","","교육",2,"Vocational Education","직업교육","職業教育","职业教育","職業教育","Educación vocacional","Профессионально-техническое образование","التعليم المهني"
"Lifelong Education","교육","평생교육","","교육",2,"Lifelong Education","평생교육","生涯教育","终身教育","終身教育","Educación para toda la vida","Пожизненное образование","التعليم مدى الحياة"
"Studying Abroad/Language Training","교육","유학/어학연수","","교육",2,"Studying Abroad/Language Training","유학/어학연수","留学/言語トレーニング","在国外学习/语言培训","在國外學習/語言培訓","Estudiar en el extranjero/capacitación en idiomas","Обучение за границей/обучение на языке","الدراسة في الخارج/التدريب على اللغة"
"Academy/Tutoring","교육","학원/과외","","교육",2,"Academy/Tutoring","학원/과외","アカデミー/家庭教師","学院/辅导","學院/輔導","Academia/Tutoría","Академия/репетиторство","الأكاديمية/الدروس"
"Test/Certificate","교육","시험/자격증","","교육",2,"Test/Certificate","시험/자격증","テスト証明書","测试/证书","測試/證書","Certificado de prueba","Свидетельство об испытании","شهادة اختبار"
"Education Method/Policy","교육","교육방법/정책","","교육",2,"Education Method/Policy","교육방법/정책","教育方法/ポリシー","教育方法/政策","教育方法/政策","Método/política de educación","Метод образования/политика","طريقة التعليم/السياسة"
"Politics/Society","정치/사회","","","",1,"Politics/Society","정치/사회","政治/社会","政治/社会","政治/社會","Política/sociedad","Политика/Общество","السياسة/المجتمع"
"Law","정치/사회","법","","정치/사회",2,"Law","법","法","法律","法律","ley","закон","قانون"
"Administrative/Complaint","정치/사회","행정/민원","","정치/사회",2,"Administrative/Complaint","행정/민원","管理/苦情","行政/投诉","行政/投訴","Administrativo/queja","Административная/жалоба","الإدارية/الشكوى"
"Politics/Election","정치/사회","정치/선거","","정치/사회",2,"Politics/Election","정치/선거","政治/選挙","政治/选举","政治/選舉","Política/elección","Политика/Выборы","السياسة/الانتخابات"
"International Relationship/Unification","정치/사회","국제관계/통일","","정치/사회",2,"International Relationship/Unification","국제관계/통일","国際関係/統一","国际关系/统一","國際關係/統一","Relación/unificación internacional","Международные отношения/объединение","العلاقة الدولية/التوحيد"
"Defense/Military Service","정치/사회","국방/병역","","정치/사회",2,"Defense/Military Service","국방/병역","防衛/兵役","国防/兵役","國防/兵役","Servicio Militar de Defensa","Защита/военная служба","الدفاع/الخدمة العسكرية"
"Environment/Disaster Disaster","정치/사회","환경/재난재해","","정치/사회",2,"Environment/Disaster Disaster","환경/재난재해","環境/災害災害","环境/灾难","環境/災難","Medio ambiente/desastre de desastres","Эконария/стихийное бедствие","بيئة/كارثة كارثة"
"Welfare/Human Rights","정치/사회","복지/인권","","정치/사회",2,"Welfare/Human Rights","복지/인권","福祉/人権","福利/人权","福利/人權","Bienestar/derechos humanos","Благосостояние/права человека","الرفاه/حقوق الإنسان"
"Social Culture","정치/사회","사회문화","","정치/사회",2,"Social Culture","사회문화","社会文化","社会文化","社會文化","Cultura social","Социальная культура","الثقافة الاجتماعية"
"Politics/Social General","정치/사회","정치/사회일반","","정치/사회",2,"Politics/Social General","정치/사회일반","政治/社会的将軍","政治/社会将军","政治/社會將軍","Política/General Social","Политика/Социальный общий","السياسة/الجنرال الاجتماعي"
"Volunteer/Charity","정치/사회","자원봉사/자선","","정치/사회",2,"Volunteer/Charity","자원봉사/자선","ボランティア/チャリティー","志愿者/慈善机构","志願者/慈善機構","Voluntario/caridad","Волонтер/благотворительность","متطوع/خيري"
"Religion","종교","","","",1,"Religion","종교","宗教","宗教","宗教","religión","религия","دِين"
"Catholic","종교","가톨릭","","종교",2,"Catholic","가톨릭","カトリック","天主教徒","天主教徒","católico","Католик","كاثوليكي"
"Protestantism","종교","개신교","","종교",2,"Protestantism","개신교","プロテスタント","新教","新教","protestantismo","Протестантизм","البروتستانتية"
"Islam","종교","이슬람교","","종교",2,"Islam","이슬람교","イスラム教","伊斯兰教","伊斯蘭教","islam","ислам","دين الاسلام"
"Judaism","종교","유대교","","종교",2,"Judaism","유대교","ユダヤ教","犹太教","猶太教","judaísmo","Иудаизм","اليهودية"
"Hinduism","종교","힌두교","","종교",2,"Hinduism","힌두교","ヒンドゥー教","印度教","印度教","hinduismo","индуизм","الهندوسية"
"Buddhism","종교","불교","","종교",2,"Buddhism","불교","仏教","佛教","佛教","budismo","буддизм","البوذية"
"Shamanism","종교","샤머니즘","","종교",2,"Shamanism","샤머니즘","シャーマニズム","萨满教","薩滿教","Chamanismo","Шаманизм","الشامانية"
"Small Religion","종교","소규모종교","","종교",2,"Small Religion","소규모종교","小さな宗教","小宗教","小宗教","Pequeña religión","Небольшая религия","دين صغير"
